City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,59.14,64,100,23.29,PT,1703609800
1,al wajh,26.2455,36.4525,78.75,50,40,9.22,SA,1703609800
2,khost,33.3395,69.9204,51.87,42,0,1.66,AF,1703609801
3,badger,64.8,-147.5333,-5.93,80,75,0.0,US,1703609801
4,iqaluit,63.7506,-68.5145,0.43,92,71,4.09,CA,1703609801
5,helong,42.5397,128.9972,5.27,91,6,5.61,CN,1703609803
6,crane,31.3974,-102.3501,48.61,39,0,8.16,US,1703609803
10,laojunmiao,39.8333,97.7333,27.59,27,1,2.62,CN,1703609805
11,yanam,16.7333,82.2167,71.02,85,3,4.21,IN,1703609805
14,praia da vitoria,38.7333,-27.0667,53.85,94,75,19.3,PT,1703609806
16,san patricio,28.017,-97.5169,59.88,53,98,5.5,US,1703609808
18,ghadamis,30.1337,9.5007,61.99,24,30,8.01,LY,1703609808
19,port isabel,26.0734,-97.2086,64.08,75,100,6.91,US,1703609808
21,tiksi,71.6872,128.8694,-10.64,99,100,5.73,RU,1703609809
23,whitehorse,60.7161,-135.0538,34.57,86,75,19.57,CA,1703609810
24,bethel,41.3712,-73.414,46.2,96,100,0.0,US,1703609810
25,baikonur,45.6167,63.3167,36.25,57,100,18.68,KZ,1703609810
27,montevarchi,43.5276,11.5689,54.73,94,14,2.15,IT,1703609810
29,suhbaatar,50.2314,106.2078,-9.99,100,60,2.62,MN,1703609812
31,longyearbyen,78.2186,15.6401,17.44,67,75,24.16,SJ,1703609812
32,zalingei,12.9096,23.4741,75.58,20,5,8.72,SD,1703609813
33,arar,30.9753,41.0381,59.02,55,0,9.22,SA,1703609814
34,utrik,11.2278,169.8474,81.79,83,72,21.72,MH,1703609815
35,st. john's,47.5649,-52.7093,41.97,91,100,36.82,CA,1703609815
40,isafjordur,66.0755,-23.124,24.84,80,75,3.44,IS,1703609818
42,raniganj,23.6167,87.1333,68.86,51,0,3.89,IN,1703609819
43,champerico,14.3,-91.9167,88.34,60,4,10.58,GT,1703609819
45,qaqortoq,60.7167,-46.0333,24.57,74,100,10.27,GL,1703609820
46,sisimiut,66.9395,-53.6735,11.55,66,100,9.13,GL,1703609820
